WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
DEBUG__main__:HYPERPARAMS
n_neurons_hl1 = 32
n_neurons_hl2 = 32
discount = 0.99
learning_rate = 1e-05
DEBUG__main__:EP	reward	info
DEBUG__main__:103	-75.5	Max steps 100 reached per episodes.
DEBUG__main__:104	-71.5	Max steps 100 reached per episodes.
DEBUG__main__:105	-72.0	Max steps 100 reached per episodes.
DEBUG__main__:106	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:107	-73.0	Max steps 100 reached per episodes.
DEBUG__main__:108	-74.0	Max steps 100 reached per episodes.
DEBUG__main__:109	-77.5	Max steps 100 reached per episodes.
DEBUG__main__:110	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:111	-79.5	Max steps 100 reached per episodes.
DEBUG__main__:112	-71.0	Max steps 100 reached per episodes.
DEBUG__main__:113	-78.5	Max steps 100 reached per episodes.
DEBUG__main__:114	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:115	-78.0	Max steps 100 reached per episodes.
DEBUG__main__:116	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:117	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:118	-77.0	Max steps 100 reached per episodes.
DEBUG__main__:119	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:120	-72.5	Max steps 100 reached per episodes.
DEBUG__main__:121	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:122	-69.5	Max steps 100 reached per episodes.
DEBUG__main__:123	-75.5	Max steps 100 reached per episodes.
DEBUG__main__:124	-76.5	Max steps 100 reached per episodes.
DEBUG__main__:125	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:126	-74.0	Max steps 100 reached per episodes.
DEBUG__main__:127	-78.0	Max steps 100 reached per episodes.
DEBUG__main__:128	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:129	-166.5	Episode @step 89 with distance: 0.1238
DEBUG__main__:130	81.5	Goal reached with displacement of 0.0042m @step 27
DEBUG__main__:131	-80.0	Max steps 100 reached per episodes.
DEBUG__main__:132	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:133	-74.0	Max steps 100 reached per episodes.
DEBUG__main__:134	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:135	-72.5	Max steps 100 reached per episodes.
DEBUG__main__:136	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:137	-74.0	Max steps 100 reached per episodes.
DEBUG__main__:138	-77.5	Max steps 100 reached per episodes.
DEBUG__main__:139	-71.0	Max steps 100 reached per episodes.
DEBUG__main__:140	-75.5	Max steps 100 reached per episodes.
DEBUG__main__:141	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:142	-78.0	Max steps 100 reached per episodes.
DEBUG__main__:143	-74.0	Max steps 100 reached per episodes.
DEBUG__main__:144	-80.5	Max steps 100 reached per episodes.
DEBUG__main__:145	-71.5	Max steps 100 reached per episodes.
DEBUG__main__:146	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:147	-76.5	Max steps 100 reached per episodes.
DEBUG__main__:148	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:149	-171.5	Episode @step 100 with distance: 0.0732
DEBUG__main__:150	-74.0	Max steps 100 reached per episodes.
DEBUG__main__:151	-74.0	Max steps 100 reached per episodes.
DEBUG__main__:152	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:153	-81.5	Max steps 100 reached per episodes.
DEBUG__main__:154	-75.5	Max steps 100 reached per episodes.
DEBUG__main__:155	-73.0	Max steps 100 reached per episodes.
DEBUG__main__:156	-77.5	Max steps 100 reached per episodes.
DEBUG__main__:157	-76.5	Max steps 100 reached per episodes.
DEBUG__main__:158	-77.5	Max steps 100 reached per episodes.
DEBUG__main__:159	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:160	-71.5	Max steps 100 reached per episodes.
DEBUG__main__:161	-73.0	Max steps 100 reached per episodes.
DEBUG__main__:162	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:163	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:164	-74.0	Max steps 100 reached per episodes.
DEBUG__main__:165	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:166	-71.5	Max steps 100 reached per episodes.
DEBUG__main__:167	-76.5	Max steps 100 reached per episodes.
DEBUG__main__:168	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:169	-73.0	Max steps 100 reached per episodes.
DEBUG__main__:170	-79.0	Max steps 100 reached per episodes.
DEBUG__main__:171	-75.5	Max steps 100 reached per episodes.
DEBUG__main__:172	-79.0	Max steps 100 reached per episodes.
DEBUG__main__:173	-76.5	Max steps 100 reached per episodes.
DEBUG__main__:174	-72.0	Max steps 100 reached per episodes.
DEBUG__main__:175	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:176	-77.0	Max steps 100 reached per episodes.
DEBUG__main__:177	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:178	-75.5	Max steps 100 reached per episodes.
DEBUG__main__:179	-74.0	Max steps 100 reached per episodes.
DEBUG__main__:180	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:181	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:182	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:183	-79.0	Max steps 100 reached per episodes.
DEBUG__main__:184	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:185	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:186	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:187	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:188	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:189	-77.0	Max steps 100 reached per episodes.
DEBUG__main__:190	-77.0	Max steps 100 reached per episodes.
DEBUG__main__:191	-78.0	Max steps 100 reached per episodes.
DEBUG__main__:192	-77.5	Max steps 100 reached per episodes.
DEBUG__main__:193	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:194	-69.5	Max steps 100 reached per episodes.
DEBUG__main__:195	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:196	-76.5	Max steps 100 reached per episodes.
DEBUG__main__:197	-76.5	Max steps 100 reached per episodes.
DEBUG__main__:198	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:199	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:200	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:201	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:202	-76.0	Max steps 100 reached per episodes.
